"Recall Number","Product Safety Warning Number",Date,"Product Safety Warning Date","Recall Heading","Name of product",Description,"Hazard Description","Consumer Action","Original Product Safety Warning Announcement","Remedy Type",Units,Incidents,Remedy,"Sold At Label","Sold At",Importers,Manufacturers,Distributors,"Manufactured In","Custom Label","Custom Field"
25445,,"August 28, 2025",,"DT Swiss Recalls Carbon Wheels Due to Crash Hazard","DT Swiss Carbon Fiber Road Wheels","This recall involves DT Swiss Carbon Fiber Road Wheels. The wheels have model codes ERC 35mm/45mm, CRC 35mm/45mm, HEC 35mm/45mm, and ARC 50mm/55mm/65mm. These wheels were sold aftermarket and as original equipment on various high-end road bicycle brands. The DT Swiss ID code and the model code are located on the wheel rim on a small label located on the outside of the rim, which indicates “DT Swiss ID” followed by a 7-digit code. All wheels with DT Swiss ID code 2740000 or higher are affected by this recall.","A defect in the wheel can compromise the wheel’s structural integrity, posing a crash hazard.",,,Replace,"About 6,000 (In addition, about 150 were sold in Canada)","The firm has received six reports of the outermost carbon layer separating around the rim flange. No injuries have been reported.","Consumers should stop using the recalled wheels and contact DT Swiss to coordinate a replacement. Consumers should register the recalled wheels with DT Swiss at&nbsp;www.dtswiss.com/recall.&nbsp;","Sold At","Independent bicycle dealers nationwide and sold as original equipment on various bicycle brands from September 2024 to July 2025 for between $1,000 and $1,880.",,"DT Swiss, of Grand Junction, Colorado",,"USA, Poland and Taiwan",,
25403,,"July 24, 2025",,"FENGQS Electric Bikes Recalled Due to Fire and Burn Hazards; Risk of Serious Injury or Death; Sold on Amazon","FENGQS F7 Pro E-bikes","This recall involves FENGQS F7 Pro electric bikes with batteries manufactured on April 21, 2024. The e-bikes were sold in blue. “FENGQS” is printed on the downtube and the model number “F7 Pro” is printed on the chain stay, near the rear wheel. The battery’s capacity (21.5Ah) and the production date (2024/4/21) are printed on a label on the front of the battery.","The e-bikes’ lithium-ion battery can overheat and ignite, posing serious fire and burn hazards to consumers.",,,Refund,"About 100","FENGQS has received 13 reports of e-bikes igniting, two resulting in fires with property damage totaling $4,000.","Consumers should stop using the recalled e-bikes immediately and contact FENGQS for a full refund. Consumers will be asked to write their name, the word “recalled,” and the current date next to the battery’s production date, with a permanent marker. Consumers must then submit a photo clearly showing this information and confirm disposal of the battery in accordance with applicable laws and regulations. Consumers should submit the photo to&nbsp;recall@fengqs.work.Note: Do not throw this recalled lithium-ion battery or device in the trash, the general recycling stream (e.g., street-level or curbside recycling bins), or used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact that office ahead of time and ask whether it accepts recalled lithium-ion batteries. If it does not, contact your municipality for further guidance.","Sold Online At","Amazon from May 2024 through December 2024 for between $700 and $1,200.",,"Shenzhen Fengqisi Car Industry Co., Ltd., dba FENGQS, of China",,China,,
25391,,"July 17, 2025",,"VIVI E-Bikes Lithium-ion Batteries Sold with VIVI E-Bikes Recalled Due to Fire and Burn Hazards; Risk of Serious Injury or Death; Sold by VIVI","36-volt lithium-ion batteries used with VIVI E-bikes","This recall involves 36-volt lithium-ion rechargeable batteries included with certain “VIVI” brand e-bikes. E-bike model information can be found on a consumer’s sales order documentation and on certain bicycle frames. Battery model information is located on the battery itself. “VIVI is printed on the bicycle downtube.The following e-bike model numbers and battery model numbers are included in this recall:Affected E-Bike Model NumberRecalled Battery Model NumberC26WT0261, 36V-8AH-288WH, ZBL-36V8AH ZK, SKD015, EB3608C0BMT20WT0261, SKD014, ZBL-36V10.4Ah LHZ3TCRFD111005YYM026SH36V-8Ah-288Wh, ZBL-36V8Ah288Wh, ZBL-36V8Ah288Wh ZK, EB360817E, SKD036008016AH6EB3610D0B, ZBL-36V10Ah, SKD011, 36V-10.4AH-374.4Wh, SKD036010003AH7EB3610C5B, 36V-10.4AH-374.4WhMT26HZBL-36V8Ah ZK26LGBEB360808L, 36V-8AH-300WH, 36V-8AH-288WH, WT0260, SKD036008009A, ZBL-36V8AH, &nbsp;ZBL-36V8AH ZK, ZBL10SP36V8AHM026TGBEB360808L, 36V-8AH-300WH, 36V-8AH-288WH, WT0260, SKD036008009A, ZBL-36V8AH, &nbsp;ZBL-36V8AH ZK, ZBL10SP36V8AHMT26GEB360808L, 36V-8AH-300WH, 36V-8AH-288WH, WT0260, SKD036008009A, ZBL-36V8AH, &nbsp;ZBL-36V8AH ZK, ZBL10SP36V8AHFM20WT0289, EB3608B2S, 36V-8AH-288WHF2036V-8AH-288WH, EB3608B4SS3TCRFD021004006, TCRFD031004006, TTTT07F01, TCRFD181004JB, TCRFD011004JB, TC-TT011005BZ1TT09F01Z2TT09F01&nbsp;","The recalled lithium-ion batteries can overheat, posing fire and burn hazards.",,,Replace,"About 24,000","VIVI is aware of 14 reports of incidents of batteries overheating, including three reports of fires. No injuries reported.","Consumers should immediately stop using e-bikes with the recalled lithium-ion batteries and contact VIVI to receive a free replacement battery and battery charger.&nbsp;Consumers must dispose of the recalled battery at a household hazardous waste (HHW) collection center or follow the instructions of their municipality and confirm that this was done by sending an email to&nbsp;vivirecall@163.com.Note: Do not throw the recalled lithium-ion battery in the trash, in the general recycling stream (e.g., street-level or curbside recycling bins), or in used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal HHW collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to an HHW collection center, contact it ahead of time and ask whether it accepts recalled lithium-ion batteries. If it doesn’t, contact your municipality for further guidance.&nbsp;","Sold At","Bikes with the recalled batteries were sold online at amazon.com, walmart.com, ebay.com, viviebikes.com, wish.com, sears.com, wayfair.com and aliexpress.com from December 2020 through November 2023 for between $365 and $950.",,"Guangzhou Plenty Bicycle Co., Ltd., of China","Shenzhen Binxin Household Co., Ltd., d/b/a VIVI E-bikes, of China",China,,
25382,,"July 10, 2025",,"SPPTTY Kids Bicycles Recalled Due to Risk of Death or Injury from Lead Poisoning; Violates Federal Lead Content Ban; Sold at Walmart by Shenzhen Yihuachuang Technology","SPPTTY Kids 14- and 18-inch Bicycles","This recall involves SPPTTY kids bicycles. The bicycles are pink with brown seat covers, brown handlebars, brown pedals and brown baskets and were sold in 14-inch and 18-inch sizes. The brand “SPPTTY” and “New Sport Bike” are printed on the downtube.","Multiple components of the children’s bicycles contain levels of lead that exceed the federal lead content ban, posing a lead poisoning hazard to children. In addition, the black paint on the bicycle pumps contains lead that exceeds the federal lead paint ban. Lead is toxic if ingested by young children and can cause adverse health issues.",,,Refund,"About 200","None reported","Consumers should stop using the recalled children’s bicycles immediately and contact Shenzhen Yihuachuang Technology for a full refund. To receive a refund, consumers should dismantle the bicycles, take a photo, and send the photo by email to&nbsp;lishkjie@163.com. After submitting proof of destruction, consumers should dispose of the recalled bike.&nbsp;","Sold Online At","Walmart.com from August 2024 through December 2024 for about $85.",,,,China,Retailer:,"Shenzhen Yihuachuang Technology, dba SPPTTY, of China"
25381,,"July 10, 2025",,"Giant Bicycle Recalls Momentum Vida E+ E-Bikes Due to Crash Hazard","Momentum Vida E+ E-Bikes","This recall involves the&nbsp;Momentum Vida E+ E-bike. The bicycles come in metallic red, pearl white, metallic navy blue, metallic green, indigo blue, happy mint (light green) and panther (black). The bicycle comes in two frame configurations (mid-step and low-step) and both configurations come in small, medium and large sizes. The unique serial number for each bike is stamped into the frame on the outer side of the left rear dropout and on a printed sticker under the bike's downtube. “Momentum” is written on the downtube of the bicycle and “Vida E+"" is written on the top tube.","The fork steerer tube on the recalled bicycles can crack, break or separate during use, posing a fall hazard.",,,Replace,"About 6,200","The firm has received four reports of broken fork steerer tubes. No injuries have been reported.","To determine whether a Momentum Vida E+ bicycle is included in this recall, consumers should look at the third character of the bike’s serial number. Bikes with a serial number in which the third character is “H”, “J” or “K” are included in this recall and must have their forks replaced free of charge. Bikes with a serial number in which the third character is “G” require additional visual inspection by an authorized Giant Bicycle dealer to determine fork status.","Sold At","Authorized Giant Bicycle dealers nationwide and online at https://www.momentum.com/us from September 2019 through May 2025 for between $2,500 and $3,200.","Giant Bicycle Inc., of Newbury Park, California",,,China,,
25319,,"June 05, 2025",,"Specialized Bicycle Components Recalls Globe-Branded Haul ST and LT E-Bikes Due to Fall Hazard","Haul ST and LT E-bikes with telescopic seat posts","This recall involves 13-inch telescopic seat posts that came as original equipment on the Specialized Globe-branded Haul ST e-bikes and Haul LT e-bikes. “Haul ST” and “Haul LT” are printed on the bicycle’s downtube.","When the lower portion of the e-bike’s telescopic seat post is fully extended, the seat post can break, posing a fall hazard.",,,Repair,"About 11,100","The firm has received 13 reports of incidents, including two minor injuries consisting of scrapes and bruises.","Consumers should immediately stop using Specialized Globe-branded Haul ST e-bikes and Haul LT e-bikes and contact an authorized Specialized retailer to schedule a free repair at the retailer. The repair will consist of a new post made of a different material.","Sold At","Bicycle stores and other authorized Specialized retailers nationwide and online at www.specialized.com from January 2023 through March 2025 for between $2,500 and 3,500.","Specialized Bicycle Components Inc., of Morgan Hill, California",,,Taiwan,,
25244,,"May 01, 2025",,"Santa Cruz Bicycles Recalls Electric Bicycles Due to Fire Hazard","Heckler 9 Electric Bicycles","The recalled electric bicycles are sold with a 720W lithium-ion battery that sits inside a black case under the frame. “SANTA CRUZ” is printed on the sides of the downtube of the bicycle frame. “Heckler” is printed on the top tube of the frame and on the inside of the left chainstay. The bikes were sold in various colors, including Gloss Avocado Green and Maritime Gray.&nbsp;Note:&nbsp;Do not throw this recalled lithium-ion battery or device in the trash, in the general recycling stream (e.g., street-level or curbside recycling bins), or in used battery recycling boxes found at various retail and home improvement stores. Recalled lithium-ion batteries must be disposed of differently than other batteries, because they present a greater risk of fire. Your municipal household hazardous waste (HHW) collection center may accept this recalled lithium-ion battery or device for disposal. Before taking your battery or device to a HHW collection center, contact them ahead of time and ask whether they accept recalled lithium-ion batteries. If they don’t, contact your municipality for further guidance.","The recalled electric bicycle’s lithium-ion battery can overheat, posing a fire hazard.",,,Replace,"About 2,850 (In addition, about 550 were sold in Canada)","The firm has received three reports of fires, including some property damage. No injuries have been reported.","Consumers should immediately stop using the recalled electric bicycles, disconnect the battery from the&nbsp;bike and charger, and visit the manufacturer’s website at&nbsp;https://santacruzbicycles.com/pages/recall-heckler-9-lithium-ion-battery to determine if their bicycle is affected and, if so, to register for a free replacement battery to be sent to them. If their battery is involved in this recall, consumers will be required to&nbsp;write “Recalled” on the involved affected&nbsp;battery and upload a photograph of it to&nbsp;https://santacruzbicycles.com/pages/recall-heckler-9-lithium-ion-battery. These consumers should then dispose of the battery in accordance with local and state regulations following registration.","Sold At","Santa Cruz dealers nationwide from October 2021 through January 2025 for between $8,750 and $13,900.",,,"Santa Cruz Bicycles LLC, of Santa Cruz, California","United States",,
25200,,"March 27, 2025",,"Specialized Bicycle Components Recalls Vado and Como IGH E-Bikes with Chain Guards Due to Fall Hazard","Specialized Vado and Como IGH E-Bikes with Chain Guards","This recall involves Specialized Vado and Como IGH e-bikes with chain/belt guards. The recalled e-bikes have an internal gear hub (IGH) and no rear derailleur (gear shift). The Specialized Bicycle brand name is located on the bike frame and the bikes are offered in a variety of colors, including black, limestone, red, sand, sea foam, navy, purple, white, gray, raspberry, umber, dark gray and yellow. The e-bikes have the following model numbers printed on the white and black serial number label located on the underside of the bicycle’s top tube.Recalled Specialized Bicycle Model NumbersCOMO 3.0 IGHCOMO 5.0 IGH ULVADO 3.0 IGH STEP THROUGH ULCOMO 3.0 IGH ULCOMO SL 4.0VADO 3.0 IGH ULCOMO 4.0 IGHCOMO SL 5.0VADO 5.0 IGHCOMO 4.0 IGH ULVADO 3.0 IGHVADO 5.0 IGH STCOMO 5.0 IGHVADO 3.0 IGH STVADO 5.0 IGH STEP THROUGH UL","The bike’s protective chain/belt guard does not cover the belt drive and loose clothing can get entrapped in the belt drive, posing a fall hazard.",,,Repair,"About 32,400 (In addition, about 3,200 were sold in Canada and about 190 were sold in Mexico)","None reported","Consumers should immediately stop using the Specialized Vado and Como IGH e-bikes and contact their nearest authorized Specialized retailer for a free installation of an updated protective chain/belt guard. Specialized Bicycle is contacting all known purchasers directly.","Sold At","Authorized Specialized Bicycle retailers nationwide and online from March 2021 through November 2024 for between $3,250 and $5,750.","Specialized Bicycle Components Inc., of Morgan Hill, California",,,"Vietnam and Taiwan",,
25177,,"March 13, 2025",,"BMC Recalls Kaius 01 Bicycles and Framesets Due to Fall Hazard","BMC-branded Kaius 01 bicycles and framesets","This recall involves all BMC-branded Kaius 01 bicycles and framesets. The bikes and framesets were sold in Peacock Spider, Carbon Black/Brushed Blue, Purple/White, White/Black, Turquoise/Black, Saffron/Black and Stone Grey colors. The brand BMC is printed on the downtube. Only bicycles and framesets with a V5 fork are affected by the recall and require a replacement fork.","The fork steerer tube on the recalled bicycles and framesets can crack, break, or separate during use, posing a fall hazard.",,,Replace,"About 1,300","BMC has received two reports of the V5 fork steerers separating from the bicycle frame. No injuries have been reported.","Consumers should immediately stop using the recalled bicycles and contact an authorized BMC dealer for a free inspection and a free replacement of the forks. BMC is contacting all known purchasers directly.","Sold At","Authorized BMC bicycle dealers nationwide and online from July 2022 through February 2025 for between $4,500 and $12,000.","BMC USA Corporation, of Scotts Valley, California","BMC Switzerland AG, of Switzerland",,Taiwan,,
25156,,"February 27, 2025",,"Canyon Bicycles USA Recalls Speedmax CF Triathlon Bicycles Due to Fall and Injury Hazards","Canyon Speedmax CF Triathlon Bicycles","This recall involves all Canyon Speedmax CF triathlon bicycle models R073 and R41 with V21 aerostems. The carbon fiber bikes were sold in black/red, black/blue, gray/orange, and red and black. “Canyon” is printed on the downtube. “Speedmax” is printed on the top tube. “V21” is printed on the left side of the stem. The model number can be found on a sticker at the top of the seat tube, just below the saddle.","The aerostem fork steerer tube on the recalled bicycles can crack or break, posing fall and injury hazards.",,,Repair,"About 1,400 (In addition, about 380 were sold in Canada)","None reported","Consumers should immediately stop using the recalled bicycles and contact a Canyon Authorized Service Partner to schedule a free repair. The repair will include removal and inspection of the fork steerer tube, a fork replacement, if needed, and preventative reinforcement of the clamping area of the fork steerer tube. Canyon is contacting all known purchasers directly.&nbsp;","Sold Exclusively Online","Canyon.com from May 2017 through July 2024 for between $4,000 and $5,000.","Canyon Bicycles USA Inc., of Carlsbad, California",,,Taiwan,,
25149,,"February 20, 2025",,"Super73 Recalls Z Miami SE and Z Adventure Core Electric Bicycles Due to Crash and Injury Hazards","Model Year 2024 Z Miami SE and Z Adventure Core Electric Bicycles","This recall involves Super73's model year 2024 Z Miami SE (900-00288, 900-00309 and 900-00313) and Z Adventure Core (900-00308) electric bicycles. The Z Miami SE e-bikes were sold in three colors: Bandit black with a black seat; Palladium gray with a camel seat; and Astro Orange with a black seat. The Z Adventure Core e-bikes come in only one color: Sandstorm, which has a black and brown frame. The model name and color are on the purchase receipt.","The retaining pin in the e-bike’s disc brake calipers can loosen and dislodge from the caliper assembly, resulting in brake failure, posing crash and injury hazards to the rider.",,,Repair,"About 1,400","The firm has received 21 reports of loose retaining pins and/or related brake failure, resulting in one minor injury.","Consumers should immediately stop using the recalled e-bikes and contact the firm for a free repair kit. Consumers will receive a new retaining pin and up to $50 toward the cost of the professional installation of the new pin. Consumers will be asked to send a copy of their installation receipt to Super73 for reimbursement of the installation cost. Super73 and its retailers are contacting all purchasers directly.","Sold At","Super73’s store in Irvine, California, other bicycle stores nationwide and online at https://Super73.com from April 2024 through September 2024 for between $2,300 and $2500.",,"Super73 Inc., of Irvine, California",,Taiwan,,
25137,,"February 20, 2025",,"Trek Recalls Electra E-Bikes Due to Crash Hazard","Electra E-bikes","This recall involves Electra Navigator Go! (Model years 2021 and 2022) and Electra Ace of Spades Go! e-bikes (Model years 2018, 2021 and 2022). The Electra Navigator Go! comes in Matte Nautilus Blue with map/ocean graphics and the Ace of Spades Go! comes in Matte Black with a gold spade. The name “Electra” is printed on the chain guard of the Navigator Go! with a compass on the top tube. The name “Electra” is printed on the down tube and chain guard of the Ace of Spades Go! with a spade on the top tube.","The rear fender can come loose and can contact the rear wheel and stop the bike unexpectedly, causing the rider to lose control of the bike, posing a crash hazard.",,,Repair,"About 927","The firm has received two reports of the rear fender coming loose and making contact with the rear wheel, including one injury that involved a fractured shinbone, meniscus tear and scrapes.","Consumers should immediately stop using the recalled Electra e-bikes and contact an authorized Trek or Electra retailer to receive a free repair to replace the rear fender bolts. Trek is contacting all known purchasers directly.","Sold At","Trek-owned bicycle stores and independent bicycle stores nationwide and online at www.electra.trekbikes.com from June 2018 through August 2023 for about $3,000.&nbsp;","Trek Bicycle Corporation, of Waterloo, Wisconsin",,,China,,
25043,,"November 14, 2024",,"woom Bikes USA Recalls Children’s OFF, OFF AIR and ORIGINAL 6 Bicycles Due to Fall and Crash Hazards","woom bicycles OFF 5, OFF AIR 5, OFF 6, OFF AIR 6, and ORIGINAL 6","This recall involves the ORIGINAL 6 bicycles from model years 2016 to 2020 and OFF 5 &amp; OFF AIR 5 and OFF 6 &amp; OFF AIR 6 bicycles from model years 2019 to 2020. The bikes are designed for children between 10 and 14 years old. “woom” is displayed on the sides of the downtube in white letters. It is also visible on the front of the headtube. The ORIGINAL 6 bikes were sold in red, green, blue, purple, and yellow colors. The OFF mountain bikes were available in black frames with silver forks.","The crank can break, due to fatigue fractures, causing the rider to lose control, posing fall and crash hazards.",,,Replace,"About 2,500","The firm has received five reports of the crank breaking, including one report of an injury to a child.","Consumers should immediately stop using the recalled bicycles and contact woom bikes USA for instructions on how to get a free replacement crankset. Consumers can use the online crank checker tool found at&nbsp;woom.com to determine if their bicycle is affected by the recall. Consumers with affected cranksets will be sent a free replacement that must be installed by a bike repair technician at their preferred bike shop. Reimbursement in the way of a check will be issued for the consumer's crank replacement expense upon submission of the repair receipt. All known purchasers are being contacted directly by woom.&nbsp;","Sold At","Online exclusively at http://www.woom.com U.S. from September 2016 through October 2020 for between $500 and $900.","woom Bike USA LLC, of Austin, Texas",,,Cambodia,,
24332,,"August 01, 2024",,"Brompton Bicycle Recalls Brompton T-Line Foldable Bicycles Due to Fall Hazard","Brompton T-Line Foldable Bicycles","This recall involves the Brompton foldable T-Line Bike. The product is 25.4” H x 23.6” W x 12.6” D when folded. The bike has the word “Brompton” printed on the center tube of the frame, and a label providing the frame number and serial number on the back of the vertical seat tube. The label also has a distinctive “T” logo distinguishing this model from others. The bike was sold in Blasted Titanium color.","A loss of alignment between the handlebar and front wheel, due to insufficient torquing of steerer clamp bolts, can cause the rider to lose control of the steering, posing a fall hazard.",,,Repair,"About 1,080 (In addition, about 31 were sold in Canada)","The firm has received 13 reports of incidents of steering misalignment or loss of steering control worldwide. No injuries have been reported.","Consumers should immediately stop using the recalled bicycles, and contact an authorized Brompton dealer to schedule an appointment for a free repair to tighten the steerer clamp bolts on the handlebar stem. Brompton is contacting all registered owners and dealers directly.","Sold At","Independent bike dealers and Brompton Junction Stores nationwide, and online at us.brompton.com from February 2024 through June 2024 for between $5,225 and $5,500.","Brompton Bicycle Inc., of Brooklyn, New York",,,"United Kingdom",,
24283,,"June 27, 2024",,"REI Recalls Co-op Cycles REV Children’s Bicycles with Training Wheels Due to Fall and Injury Hazards","Co-op Cycles REV 12-, 16-, or 20-inch Kid’s Bicycles with training wheels (all model years 2022-2024)","This recall involves REI Co-op Cycles REV 12-, 16-, or 20-inch kid’s bicycles (all model years 2022-2024). Serial numbers included in the recall begin with ""ET22,"" ""ET23,"" ""01VX"" or ""07VX."" The serial number is printed underneath the bike frame on the bottom bracket or down tube.BrandModelSKU/Article #ColorCo-op CyclesREV 12 Kids Bike190741BONDI (green)Co-op CyclesREV 12 Kids Bike190741PENCIL (yellow)Co-op CyclesREV 16 Kids Bike190742SURFS UP (blue)Co-op CyclesREV 16 Kids Bike190742CATCH UP (red)Co-op CyclesREV 16 Kids Bike190743FOUR LEAF (green)Co-op CyclesREV 20 Kids Bike190743PLUM BURST (purple)","The training wheel assembly knob can loosen and detach from the bicycle, posing fall and injury hazards to the riders.",,,Repair,"About 75,860","The firm has received four reports of the training wheels falling off. Injuries included reports of scrapes, bruising, and one involving broken arms.","If training wheels are being used, consumers should immediately stop using the recalled bicycle, and contact their local REI store to schedule a free repair that includes replacement training wheel attachments. If it is not possible to visit an REI store, contact REI for a free repair kit to be shipped. If the bicycle is being ridden without training wheels, customers can continue using the bicycle.","Sold At","REI stores nationwide and online at REI.com from March 2022 through May 2024 for between $200 and $300.",,"RECREATIONAL EQUIPMENT INC. (REI), of Sumner, Washington",,"China and Cambodia",,
24275,,"June 20, 2024",,"Cargo Bicycles Recalled Due to Fall Hazard; Manufactured by Babboe B.V.","Cargo bicycles","This recall involves all models of two-wheeled and three-wheeled, electric and non-electric (traditional) Babboe cargo bicycles. The recalled cargo bikes are intended for (urban) transport of children, pets and/or light goods.","The frames of the recalled cargo bicycles can crack and can bend and break, posing a fall hazard to the rider.",,,Refund,"About 300 (In addition, about 445 were sold in Canada)","None reported","Consumers should immediately stop using the recalled Cargo bicycles, and contact Babboe for a full refund and to arrange for the company to pick up the bicycle.","Sold At","Bicycle stores nationwide including 718 Cyclery, of New York City; A Street Bike Named Desire, of Palo Alto, California; Going Dutch Bikes of Old Greenwich, Connecticut; Aika Trading LLC, of Pacific Palisades, California; Clever Cycles, of Portland, Oregon; Dockside Boat, of Princess Anne, Maryland; Human Electric Hybrids LLC, of Ypsilanti, Michigan; La Dolce Velo, of San Jose, California; PressWell, of Hinsdale, Illinois; and the Bike Center, of Santa Monica, California, from January 2011 through March 2024 for between $3,500 to $7,000.",,"Babboe B.V., of the Netherlands",,Netherlands,,
24266,,"June 13, 2024",,"Retrospec Recalls Beaumont Plus ST Bikes with Disc Brakes Due to Crash and Injury Hazards","Beaumont Plus ST Bikes with disc brakes","This recall involves Beaumont Plus ST City Bike Step-Thru frame bicycles with disc brakes. They were sold in bluebell (blue), eggshell (white), or mint (green) colors. ""Retrospec"" is printed on the frame, and the firm's ""R"" logo is on the front fork. A silver label near the pedals states “Restrospec, Made in Tianjin, China and batch: 12-15-2023”.","The front disc brake rotor and brake pads can be misaligned, which can cause brake failure, posing crash and injury hazards.",,,Repair,"About 530","None reported.","Consumers should immediately stop using the recalled bicycles and take them to the authorized dealer where purchased, or&nbsp;https://retrospec.com/pages/dealer-locator/ for free installation of a new brake assembly.","Sold At","Bicycle stores nationwide from February 2024 through March 2024 for about $400.","Xander Bicycle Corp., dba Retrospec, of Perris, California",,,China,,
24203,,"April 18, 2024",,"Full Speed Ahead Recalls Gossamer Pro AGX+ Cranksets Sold on Bicycles Due to Fall and Injury Hazards","Gossamer Pro AGX+ cranksets","This recall involves Full Speed Ahead’s Gossamer Pro AGX+ bicycle cranksets, model CK-6037. They were sold separately and on bicycles including Cannondale, Canyon, Marin, Haro, Fuji, and Pinarello gravel brands. “FSA Gossamer Pro” is etched on the front of the crankarm. The model and serial numbers can be found on the back of the bicycle’s crankarm, next to the pedal threads. Only serial numbers beginning with B1, B2 or B3 are included in this recall.","The bicycle's crank arms can loosen and/or detach from the crank/spindle, posing fall and injury hazards.",,,"Replace, Repair","About 12,300 (In addition, about 250 were sold in Canada)","The firm has received 277 reports of bicycle crankarms loosening or detaching. No injuries have been reported.","Consumers should immediately stop using the bicycles with the recalled cranksets, and contact Full Speed Ahead for instructions on how to receive free dealer installation of a new replacement crankset.","Sold At","Independent bicycle stores nationwide and online through the bicycle brands including Cannondale, Canyon, Marin, Haro, Fuji, and Pinarello from January 2022 through June 2023 for about $190 for the crankarm, and between $1,700 and $4,000 for the bicycles.","Full Speed Ahead Inc., of Mukilteo, Washington",,,Taiwan,,
24194,,"April 11, 2024",,"Delta Cycle Recalls Bicycle Stem Raisers Due to Fall Hazard","Delta Cycle and Dimension Stem Raisers","This recall involves Delta Cycle and Dimension Stem Raisers with the model numbers TD3318B, TD3318S, TD3418B, and TD3418S for the Delta Cycle brand, and SM1977 and SM1979 for the Dimension brand. The stem raisers were sold in black and silver, and measure between five inches and seven inches high.","The Stem Raiser can shift during use, causing the bicycle’s handlebar to shift unexpectantly, posing a fall hazard.",,,Repair,"About 500,000 (In addition, about 8,510 were sold in Canada)","The firm has received one report of a stem raiser shifting during use. No injuries have been reported. ","Consumers should immediately stop using the recalled stem raisers, and contact Delta Cycle to schedule a free repair at an independent bicycle dealer.","Sold At","REI and local bicycle stores nationwide and online at Designbydelta.com and Amazon.com from January 1998 through January 2024 for about $46.","Delta Cycle, of Foxborough, Massachusetts",,,Taiwan,,
24148,,"March 07, 2024",,"GT Recalls LaBomba Bicycles Due to Fall and Injury Hazards","GT LaBomba bicycles","This recall involves GT Model Year 2019 through 2023 LaBomba 24” bicycles, LaBomba 26” bicycles, LaBomba Pro bicycles, LaBomba Rigid bicycles, and LaBomba 26” bicycle framesets. The bicycles and framesets were sold in sea green, green, dusty blue, blue, purple, and red. The model name LaBomba is printed on the bicycle frame top-tube. “GT” is printed on the downtube.","The bicycle headtube/downtube weld can become damaged and separate from the bicycle frame, posing fall and injury hazards.",,,Replace,"About 3,040 (In addition, about 324 were sold in Canada)","The firm has received five reports of damage to the bicycle headtube/downtube weld, causing the bicycle headtube to separate from the bicycle frame. No injuries have been reported.","Consumers should immediately stop using the recalled bicycles and contact an authorized GT dealer for a free replacement frame.","Sold At","Bicycle stores nationwide from October 2018 through September 2023 for between $400 and $1,450.","GT Bicycles LLC, of Aliso Viejo, California",,,Taiwan,,
24136,,"February 29, 2024",,"Cannondale Recalls Dave Bicycles Due to Fall and Injury Hazards","2021 through 2023 Model Year Cannondale Dave bicycles","This recall involves Model Year 2021 through 2023 Cannondale 26” Dave bicycles and framesets. The bicycles and framesets were sold in deep teal and stealth gray. “Dave” is printed on the bicycle frame top-tube. “Cannondale” is printed on the downtube.","The bicycle headtube/downtube weld can become damaged, and separate from the bicycle frame, posing fall and injury hazards.",,,Replace,"About 660 (In addition, about 113 were sold in Canada)","The firm has received two reports of damage to the bicycle headtube/downtube weld, causing the bicycle headtube to separate from the bicycle frame. No injuries have been reported.","Consumers should immediately stop using the recalled bicycles and contact an authorized Cannondale dealer for a free replacement frame.","Sold At","Bicycle stores nationwide and online at Cannondale.com from June 2021 through September 2023 for about $1,300.","Cycling Sports Group Inc., dba Cannondale, of Wilton, Connecticut",,,Taiwan,,
24105,,"February 01, 2024",,"Box Components Recalls BMX Race Bicycle Stems Due to Fall Hazard","BMX Race Box One Bicycle Stems","This recall involves BMX Race Box One Oversized 31.8 Delta bicycle stems used to clamp the fork steerer and/or handlebars. The recalled stems have dual-tone gray stripes, laser-etched at an approximate 45-degree angle on the stem body's sides. “Boxone” and the Box icon are also laser-etched on the stems.&nbsp;The stems were sold separately from bicycles. Bolts used in the stems are 6 mm in diameter and 20 mm in length. The stems were sold in various colors including black, red, blue, gold, purple and silver.","The stems’ faceplate can crack and break, loosening the handlebars, and cause the rider to lose control, posing a risk of injury to the user in a crash.",,,"Refund, Replace","About 160","The firm has received one report of a stem faceplate’s cracking. No injuries have been reported.","Consumers should immediately stop using the recalled bicycle stems and contact Box Components for a full refund or a free replacement stem, including shipping.","Sold At","BMX Race dealers nationwide and online at https://boxcomponents.com from January 2023 through October 2023 for about $100 for the bicycle stems sold separately.",,,"The Cycle Group, Dba Box Components, from Anaheim, California",Taiwan,,
